time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=11, tm_sec=54, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=11, tm_sec=54, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=11, tm_sec=54, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=11, tm_sec=54, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=11, tm_sec=54, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=11, tm_sec=54, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=11, tm_sec=54, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=11, tm_sec=54, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=11, tm_sec=54, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=11, tm_sec=55, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=11, tm_sec=55, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=11, tm_sec=55, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=11, tm_sec=55, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=15, tm_sec=52, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=15, tm_sec=52, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=15, tm_sec=52, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=15, tm_sec=52, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=15, tm_sec=52, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=15, tm_sec=52, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=15, tm_sec=52, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=16, tm_sec=42, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=16, tm_sec=42, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=16, tm_sec=42, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=16, tm_sec=43, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=16, tm_sec=43, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=16, tm_sec=43, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
time.struct_time(tm_year=2020, tm_mon=9, tm_mday=10, tm_hour=7, tm_min=16, tm_sec=43, tm_wday=3, tm_yday=254, tm_isdst=1)| Exception!!! | <class 'Exception'>
